"","servidor","DataCenter","tipo","Powerstate","fv","capacidad_total","capacidad_usada","capacidad_asignada"
"370","TQSECPROEXCH02B_V2","QRO","PRODUCCION","poweredOn","fisico",18503.5,15027.0473469077,3476.45265309231
"371","TQSECPROEXCH03","QRO","PRODUCCION","poweredOn","fisico",125.9,108.567191780822,17.3328082191781
"372","TQSECPROEXCH03B","QRO","PRODUCCION","poweredOn","fisico",17991.4,14047.1905092906,3944.20949070936
"373","TQSECPROEXCH04","QRO","PRODUCCION","poweredOn","fisico",7393.55,5293.56565052662,2099.98434947338
"374","TQSECPROEXCH04_V3","QRO","PRODUCCION","poweredOn","fisico",7410.55,5300.60902952205,2109.94097047795
"375","TQSECPROEXCH05","QRO","PRODUCCION","poweredOn","fisico",6584.95,3965.34633130253,2619.60366869747
"376","TQSECPROMSQL01","QRO","PRODUCCION","poweredOn","fisico",397.6,284.784365029762,112.815634970238
"377","TQSECPROMSQL01_MG","QRO","PRODUCCION","poweredOn","fisico",118.2,54.6203125,63.5796875
"378","TQSECPROMSQL02","QRO","PRODUCCION","poweredOn","fisico",1735.66,1334.96341902148,400.696580978521
"379","TQSECPROMSQL02_NEW","QRO","PRODUCCION","poweredOn","fisico",28,6.125,21.875
"380","TQSECPROMSQL03","QRO","PRODUCCION","poweredOn","fisico",1765.76,1347.92052839648,417.839471603521
"381","TQSECPROMSQL04","QRO","PRODUCCION","poweredOn","fisico",1700.56,1295.24568464648,405.314315353521
"382","TQSECPROMSQL05","QRO","PRODUCCION","poweredOn","fisico",393.5,281.062724404762,112.437275595238
"383","TQSECPROMSQL05_MG","QRO","PRODUCCION","poweredOn","fisico",100.4,39.48125,60.91875
"384","TQSECPROMSQL06","QRO","PRODUCCION","poweredOn","fisico",1737.46,1321.30310652148,416.156893478521
"385","TQSECPROMSQL06_NEW","QRO","PRODUCCION","poweredOn","fisico",30.2,7.1253125,23.0746875
"386","TQSECPROMSQL07","QRO","PRODUCCION","poweredOn","fisico",1739.36,1319.97880964648,419.381190353521
"387","TQSECPROMSQL07_NEW","QRO","PRODUCCION","poweredOn","fisico",27.9,6.081328125,21.818671875
"388","TQSECPROMSQL12","QRO","PRODUCCION","poweredOn","fisico",2222.13333333333,1549.67715871048,672.456174622854
"389","TQSECPROMSQL12_MG","QRO","PRODUCCION","poweredOn","fisico",37.5,10.986328125,26.513671875
"390","TQSECPROMSQL13","QRO","PRODUCCION","poweredOn","fisico",2220.43333333333,1549.29067433548,671.142658997854
"391","TQSECPROMSQL13_MG","QRO","PRODUCCION","poweredOn","fisico",40.3,12.688203125,27.611796875
"392","TQSECPROMSQL14","QRO","PRODUCCION","poweredOn","fisico",2222.33333333333,1549.72559621048,672.607737122854
"393","TQSEXPROEXCH01B","QRO","PRODUCCION","poweredOn","fisico",7.2,0.81,6.39
"394","TQSFEPROMSQL01","QRO","PRODUCCION","poweredOn","fisico",1746.6,1704.5517040281,42.0482959719036
"395","TQSFEPROMSQL01_NEW","QRO","PRODUCCION","poweredOn","fisico",6601.15,5565.26737509532,1035.88262490468
"396","TQSFEPROMSQL02","QRO","PRODUCCION","poweredOn","fisico",1746.6,1704.5517040281,42.0482959719036
"397","TQSFEPROMSQL02_NEW","QRO","PRODUCCION","poweredOn","fisico",6624.65,5576.91359616357,1047.73640383643
"398","TQSICPROMSQL05","QRO","PRODUCCION","poweredOn","fisico",87.5,50.0033888888889,37.4966111111111
"399","TQSICPROMSQL05_MIG","QRO","PRODUCCION","poweredOn","fisico",932.1,725.304439868266,206.795560131734
"400","TQSICPROMSQL06","QRO","PRODUCCION","poweredOn","fisico",107.3,77.3765701388889,29.9234298611111
"401","TQSICPROMSQL06_MIG","QRO","PRODUCCION","poweredOn","fisico",949.6,754.201621118266,195.398378881734
"402","TQSINPROLDGT04","QRO","PRODUCCION","poweredOn","fisico",185.5,185.600065919578,-0.100065919578157
"403","TQSINPROLDGT04_MIG","QRO","PRODUCCION","poweredOn","fisico",22.6,3.22282773473336,19.3771722652666
"404","TQSINPROPSRV11","QRO","PRODUCCION","poweredOn","fisico",216.7,174.0238,42.6762
"405","TQSINPROSSGT01","QRO","PRODUCCION","poweredOn","fisico",33.7,33.7,0
"406","TQSINPROSSGT01_MG","QRO","PRODUCCION","poweredOn","fisico",33.7,33.7,0
"407","TQSITDEVORCL03","QRO","DESARROLLO","poweredOn","fisico",0,0,0
"408","TQSITDEVORCL04","QRO","DESARROLLO","poweredOn","fisico",0,0,0
"409","TQSTIPROORRC01","QRO","PRODUCCION","poweredOn","fisico",1578.5,1576.53632855763,1.9636714423697
"410","TQSTIPROORRC02","QRO","PRODUCCION","poweredOn","fisico",1024.6,1024.90145311424,-0.301453114242617
"411","TQSTIPROORRC03","QRO","PRODUCCION","poweredOn","fisico",210.45,97.6653577969006,112.784642203099
"412","TQSTIPROORRC04","QRO","PRODUCCION","poweredOn","fisico",165.85,95.7930225373238,70.0569774626762
"413","TQTRIPROETPM08","QRO","PRODUCCION","poweredOn","fisico",20.4,12.3489614243323,8.05103857566766
"414","TQTRIPROETPM09","QRO","PRODUCCION","poweredOn","fisico",17.7,9.29643916913946,8.40356083086053
"415","TQTRIPROETPM10","QRO","PRODUCCION","poweredOn","fisico",13.2,5.17032640949555,8.02967359050445
"416","TQTRIPROETPM11","QRO","PRODUCCION","poweredOn","fisico",17.4,8.98397626112759,8.4160237388724
"417","TQTRIPROETPM12","QRO","PRODUCCION","poweredOn","fisico",17.7,9.29643916913946,8.40356083086053
"418","TQTRIPROETPM13","QRO","PRODUCCION","poweredOn","fisico",17.3,8.88100890207715,8.41899109792285
"419","TQTRIPROETPM14","QRO","PRODUCCION","poweredOn","fisico",14.5,6.23887240356083,8.26112759643917
"420","TQTRIPROETPM15","QRO","PRODUCCION","poweredOn","fisico",13.5,5.4080118694362,8.0919881305638
"421","TQTRIPROETPM16","QRO","PRODUCCION","poweredOn","fisico",13.6,5.48842729970326,8.11157270029674
"422","TQTRIPROETPM17","QRO","PRODUCCION","poweredOn","fisico",10.4,3.20949554896142,7.19050445103858
"423","TQTRIPROETPM18","QRO","PRODUCCION","poweredOn","fisico",11.2,3.72225519287834,7.47774480712166
"424","TQTRIPROETPM19","QRO","PRODUCCION","poweredOn","fisico",10.8,3.46112759643917,7.33887240356083
"425","TQTRIPROETPM20","QRO","PRODUCCION","poweredOn","fisico",12.1,4.34451038575668,7.75548961424332
"426","TQTRIPROETPM21","QRO","PRODUCCION","poweredOn","fisico",12.2,4.41661721068249,7.78338278931751
"427","TQTRIPROETPM22","QRO","PRODUCCION","poweredOn","fisico",12,4.27299703264095,7.72700296735905
"428","TQTRIPROETPM23","QRO","PRODUCCION","poweredOn","fisico",12.1,4.34451038575668,7.75548961424332
"429","TQTRIPROETPM24","QRO","PRODUCCION","poweredOn","fisico",11.7,4.0620178041543,7.6379821958457
"430","TQTRIPROETPM25","QRO","PRODUCCION","poweredOn","fisico",14.4,6.15311572700297,8.24688427299703
"431","TQTRIPROETPM26","QRO","PRODUCCION","poweredOn","fisico",11,3.59050445103858,7.40949554896143
"432","TQTRIPROETPM27","QRO","PRODUCCION","poweredOn","fisico",14.4,6.15311572700297,8.24688427299703
"433","TQTRIPROETPM28","QRO","PRODUCCION","poweredOn","fisico",12.9,4.9379821958457,7.9620178041543
"434","TQTRIPROETPM29","QRO","PRODUCCION","poweredOn","fisico",12.2,4.41661721068249,7.78338278931751
"435","TQTRIPROETPM30","QRO","PRODUCCION","poweredOn","fisico",11,3.59050445103858,7.40949554896143
"436","TQTRIPROWEBL03","QRO","PRODUCCION","poweredOn","fisico",19.7,11.5160237388724,8.1839762611276
"437","TQTRIPROWEBL04","QRO","PRODUCCION","poweredOn","fisico",19.8,11.633234421365,8.16676557863502
"438","TQTRIUATORCL01","QRO","UAT","poweredOn","fisico",0.1,0.001,0.099
"439","TRAINING","QRO","OTROS","poweredOn","fisico",0,0,0
