"","servidor","aplicacion"
"1510","TQBZTPROWEBE05","BZT"
"1511","TQBZTPROWEBC05","BZT"
"1512","TQBZTPROWEBE02","BZT"
"1513","TQBZTPROWEBC01","BZT"
"1514","TQBZTPROWEBE102","BZT"
"1515","TQBZTPROWEBE107","BZT"
"1516","TQBZTPROOHSE103","BZT"
"1517","TQBZTPROOHSC01","BZT"
"1518","TQBZTPROWEBC109","BZT"
"1519","TQBZTPROOHSE101","BZT"
"1520","TQBZTPROWEBC110","BZT"
"1521","TQBZTPROWEBE106","BZT"
"1522","TQBZTPROWEBC111","BZT"
"1523","TQBZTPROWEBC105","BZT"
"1524","TQBZTPROWEBC102","BZT"
"1525","TQBZTPROOHSC03","BZT"
"1526","TQBZTPROWEBC09","BZT"
"1527","TQBZTPROWEBC108","BZT"
"1528","TQBZTPROWEBE104","BZT"
"1529","TQBZTPROWEBC10","BZT"
"1530","TQBZTPROWEBE06","BZT"
"1531","TQBZTPROWEBE01","BZT"
"1532","TQBZTPROWEBC101","BZT"
"1533","TQBZTPROWEBE101","BZT"
"1534","TQBZTPROORCL01","BZT"
"1535","TQBZTPROWEBC106","BZT"
"1536","TQBZTPROWEBE03","BZT"
"1537","TQBZTPROWEBC11","BZT"
"1538","TQBZTPROWEBC03","BZT"
"1539","TQBZTPROOHSC102","BZT"
"1540","TQBZTPROWEBE07","BZT"
"1541","TQBZTPROORCL06","BZT"
"1542","TQBZTPROORCL07","BZT"
"1543","TQBZTPROORCL05","BZT"
"1544","VORDEL 2 VIRTUAL","Buzon Tributario (nuevo)"
"1545","VORDEL 2 FISICA","Buzon Tributario (nuevo)"
"1546","TQSITPROORCL03","Buzon Tributario (nuevo)"
"1547","TQSITPROORCL02","Buzon Tributario (nuevo)"
"1548","TQSITPROORCL01","Buzon Tributario (nuevo)"
"1549","TQBAMPROCOHE02","Buzon Tributario (nuevo)"
"1550","TQRFCPROORCL04","Buzon Tributario (nuevo)"
"1551","VORDEL 1 VIRTUAL","Buzon Tributario (nuevo)"
"1552","VORDEL 1 FISICA","Buzon Tributario (nuevo)"
"1553","TQBAMPROWEBC02","Buzon Tributario (nuevo)"
"1554","TQFOPPROORCL03","Buzon Tributario (nuevo)"
"1555","TQFOPPROORCL02","Buzon Tributario (nuevo)"
"1556","TQBAMPROCOHE01","Buzon Tributario (nuevo)"
"1557","TQBAMPROCOHC01","Buzon Tributario (nuevo)"
"1558","TQBAMPROWEBC01","Buzon Tributario (nuevo)"
"1559","TQBAMPROWEBE05","Buzon Tributario (nuevo)"
"1560","TQBAMPROWEBE03","Buzon Tributario (nuevo)"
"1561","TQBAMPROWEBC12","Buzon Tributario (nuevo)"
"1562","TQBAMPROWEBC11","Buzon Tributario (nuevo)"
"1563","TQBAMPROWEBC09","Buzon Tributario (nuevo)"
"1564","TQBAMPROWEBC08","Buzon Tributario (nuevo)"
"1565","TQBAMPROWEBC07","Buzon Tributario (nuevo)"
"1566","TQBAMPROWEBC05","Buzon Tributario (nuevo)"
"1567","TQBAMPROWEBC04","Buzon Tributario (nuevo)"
"1568","TQBAMPROWEBC03","Buzon Tributario (nuevo)"
"1569","TQBAMPROORCL08","Buzon Tributario (nuevo)"
"1570","TQBAMPROORCL07","Buzon Tributario (nuevo)"
"1571","TQBAMPROORCL06","Buzon Tributario (nuevo)"
"1572","TQBAMPROORCL05","Buzon Tributario (nuevo)"
"1573","TQBAMPROOHSE02","Buzon Tributario (nuevo)"
"1574","TQBAMPROOHSC02","Buzon Tributario (nuevo)"
"1575","TQBAMPROWEBC10","Buzon Tributario (nuevo)"
"1576","TQAGCPROORCL02","Buzon Tributario (nuevo)"
"1577","TQAGCPROORCL01 ","Buzon Tributario (nuevo)"
"1578","TQFOPPROORCL01","Buzon Tributario (nuevo)"
"1579","TQBAMPROORCL01","Buzon Tributario (nuevo)"
"1580","TQBAMPROWEBE04","Buzon Tributario (nuevo)"
"1581","TQBAMPROWEBE02","Buzon Tributario (nuevo)"
"1582","TQBAMPROOHSE01","Buzon Tributario (nuevo)"
"1583","TQRFCPROORCL07","Buzon Tributario (nuevo)"
"1584","TQAGCPROORCL03","Buzon Tributario (nuevo)"
"1585","TQBAMPROWEBE06","Buzon Tributario (nuevo)"
"1586","TQRFCPROORCL03","Buzon Tributario (nuevo)"
"1587","TQBAMPROWEBC06","Buzon Tributario (nuevo)"
"1588","TQAGCPROORCL04","Buzon Tributario (nuevo)"
"1589","TQRFCPROORCL08","Buzon Tributario (nuevo)"
"1590","TQBAMPROWEBE01","Buzon Tributario (nuevo)"
"1591","TQBAMPROOHSC01 ","Buzon Tributario (nuevo)"
"1592","TQBAMPROCOHC02","Buzon Tributario (nuevo)"
"1593","TRAGGPROIISX01","C GESTION AGGC"
"1594","TRAGGPROMSQL01","C GESTION AGGC"
"1595","TRAGPPROIISX01","C GESTION AGGC"
"1596","TQCAPSTROHSX08","CAP"
"1597","TQCAPSTRWEBC02","CAP"
"1598","TQCAPSTROHSX02","CAP"
"1599","TQCAPSTROHSE06","CAP"
"1600","TQCAPSTRWEBL09","CAP"
"1601","TQCAPSTRCOHE05","CAP"
"1602","TQCAPSTRWEBL12","CAP"
"1603","TQCAPSTRWEBL11","CAP"
"1604","TQCAPSTRWEBL10","CAP"
"1605","TQCAPSTRWEBL05","CAP"
"1606","TQCAPSTROHSX07","CAP"
"1607","TQCAPSTROHSX06","CAP"
"1608","TQCAPSTROHSX12","CAP"
"1609","TQCAPSTRORCL01","CAP"
"1610","TQCAPSTROHSX01","CAP"
"1611","TQCAPSTROHSC04","CAP"
"1612","TQCAPSTRCOHC06","CAP"
"1613","TQCAPSTROHSE01","CAP"
"1614","TQCAPSTRWEBL02","CAP"
"1615","TQCAPSTRWEBC04","CAP"
"1616","TQCAPSTRCOHE04","CAP"
"1617","TQCAPSTRCOHE02","CAP"
"1618","TQCAPSTRCOHC02","CAP"
"1619","TQCAPSTRWEBL01","CAP"
"1620","TQCAPSTRWEBC01","CAP"
"1621","TQCAPSTROHSE03","CAP"
"1622","TQCAPSTRCOHC04","CAP"
"1623","TQCAPSTRWEBE01","CAP"
"1624","TQCAPSTRWEBL04","CAP"
"1625","TQCAPSTRCOHC01","CAP"
"1626","TQCAPSTRWEBL03","CAP"
"1627","TQCAPSTRWEBE03","CAP"
"1628","TQCAPSTRWEBE06","CAP"
"1629","TQCAPSTRCOHE06","CAP"
"1630","TQCAPSTROHSE04","CAP"
"1631","TQCAPSTRWEBL07","CAP"
"1632","TQCAPSTRWEBE05","CAP"
"1633","TQCAPSTRWEBC06","CAP"
"1634","TQCAPSTROHSE05","CAP"
"1635","TQCAPSTRWEBE04","CAP"
"1636","TQCAPSTROHSC03","CAP"
"1637","TQCAPSTRCOHE01","CAP"
"1638","TQCAPSTRWEBC03","CAP"
"1639","TQCAPSTRWEBC05","CAP"
"1640","TQCAPSTROHSC02","CAP"
"1641","TQCAPSTROHSC05","CAP"
"1642","TQCAPSTROHSE02","CAP"
"1643","TQCAPSTRCOHC05","CAP"
"1644","TQCAPSTRWEBL08","CAP"
"1645","TQCAPSTRCOHE03","CAP"
"1646","TQCAPSTRWEBE02","CAP"
"1647","TQCAPSTROHSC01","CAP"
"1648","TQCAPSTRORCL02","CAP"
"1649","TQCAPSTROHSC06","CAP"
"1650","TQCAPSTRCOHC03","CAP"
"1651","TQCAPSTRWEBL06","CAP"
"1652","TQCTMPROMSHP02","CATALOG MANAGER"
"1653","TQCTMPROMSHP01","CATALOG MANAGER"
"1654","TQNWKPRORMAN01","CATALOGO SSPAC-A"
"1655","TQCBZPROWEBE06","CBZ"
"1656","TQCBZPROWEBE03","CBZ"
"1657","TQCBZPROCOHE03","CBZ"
"1658","TQCBZPROCOHE01","CBZ"
"1659","TQCBZPROCOHE02","CBZ"
"1660","TQCBZPROBKGX01","CBZ"
"1661","TQCBZPROBKGX02","CBZ"
"1662","TQCBZPROWEBE05","CBZ"
"1663","TQCBZPROWEBE02","CBZ"
"1664","TQCBZPROORCL02","CBZ"
"1665","TQCBZPROORCL01","CBZ"
"1666","TQCBZPROWEBE04","CBZ"
"1667","TQCBZPROORCL03","CBZ"
"1668","TQCBZPROORCL05","CBZ"
"1669","TQCBZPROOHSE03","CBZ"
"1670","TQCBZPROOHSE02","CBZ"
"1671","TQCBZPROWEBE01","CBZ"
"1672","TQCBZPROORCL06","CBZ"
"1673","TQCBZPROORCL04","CBZ"
"1674","TQCBZPROOHSE01","CBZ"
"1675","TRCCNPROSCOM04","CCN"
"1676","TRCCNPROSCOM03","CCN"
"1677","TRCCNPROSCOM02","CCN"
"1678","TRCCNPROSCOM01","CCN"
"1679","TRCCNPROSCOM05","CCN"
"1680","TQCCNPROBMCP02","CCN"
"1681","TQCCNPROBMCB03","CCN"
"1682","TQCCNPROCPAM01","CCN"
"1683","TQCCNPROSCOM02","CCN"
"1684","DEPURAR_TQCCNPROCPAM01_OVA","CCN"
"1685","TQCCNPROBMCN03","CCN"
"1686","TQCCNPROBMCC01","CCN"
"1687","TQCCNPROBMCN02","CCN"
"1688","TQCCNPROBMCB02","CCN"
"1689","TQCCNPROBMCP03","CCN"
"1690","TQCCNPROSCOM01","CCN"
"1691","TQCCNPROBMCP04","CCN"
"1692","TQCCNPROBMCP01","CCN"
"1693","TQCCNPROBMCB01","CCN"
"1694","TQCCNPROCPAM02","CCN"
"1695","TQCCNPROBMCN01","CCN"
"1696","TQCCTUATWEBL02","CCT"
"1697","TQCCTPROWEBL02","CCT"
"1698","TQCCTDEVWEBL02","CCT"
"1699","TQCCTPROWEBL03","CCT"
"1700","TQCCTDEVWEBL01","CCT"
"1701","TQCCTPROWEBL01","CCT"
"1702","TQCCTUATWEBL01","CCT"
"1703","TQCCTDEVWEBL01.","CCT."
"1704","TQCCTDEVWEBL02.","CCT."
"1705","TQCDCPROORCL02","CDC"
"1706","TQCDCPROCHDC02","CDC"
"1707","TQCDCPROORCL01","CDC"
"1708","TQCDCPROORCL03","CDC"
"1709","TQCDCPROCHDC03","CDC"
"1710","TQCDCPROCHDC04","CDC"
"1711","TQCDCPROORCL04","CDC"
"1712","TQCDCPROCHDC01","CDC"
"1713","TQCDFUATWBMQ02","CDC Replica de RFCAmpliado"
"1714","TQCDFUATWBMQ01","CDC Replica de RFCAmpliado"
"1715","TQCDFUATWASX02","CDC Replica de RFCAmpliado"
"1716","TQCDFUATJBPR01","CDC Replica de RFCAmpliado"
"1717","TQCDFUATILOG02","CDC Replica de RFCAmpliado"
"1718","TQCDFPROWASX07","CDC Replica de RFCAmpliado"
"1719","TQCDFPROWASX06","CDC Replica de RFCAmpliado"
"1720","TQCDFPROWASX05","CDC Replica de RFCAmpliado"
"1721","TQCDFPROWASX04","CDC Replica de RFCAmpliado"
"1722","TQCDFPRODB2X06","CDC Replica de RFCAmpliado"
"1723","TQCDFPRODB2X04","CDC Replica de RFCAmpliado"
"1724","TQCDFPRODB2X03","CDC Replica de RFCAmpliado"
"1725","TQCDFPRODB2X01","CDC Replica de RFCAmpliado"
"1726","TQCDCPROORCL04","CDC Replica de RFCAmpliado"
"1727","TQCDCPROORCL03","CDC Replica de RFCAmpliado"
"1728","TQCDCPROORCL01","CDC Replica de RFCAmpliado"
"1729","TQCDCPROCHDC04","CDC Replica de RFCAmpliado"
"1730","TQCDCPROCHDC02","CDC Replica de RFCAmpliado"
"1731","TQCDFPROWASX03","CDC Replica de RFCAmpliado"
"1732","TQCDCPROORCL02","CDC Replica de RFCAmpliado"
"1733","TQCDFPROWASX08","CDC Replica de RFCAmpliado"
"1734","TQCDFPROWASX02","CDC Replica de RFCAmpliado"
"1735","TQCDCPROCHDC03","CDC Replica de RFCAmpliado"
"1736","TQCDFUATWASX01","CDC Replica de RFCAmpliado"
"1737","TQCDFUATILOG01","CDC Replica de RFCAmpliado"
"1738","TQCDFPRODB2X05","CDC Replica de RFCAmpliado"
"1739","TQCDFPRODB2X02","CDC Replica de RFCAmpliado"
"1740","TQCDCPROCHDC01","CDC Replica de RFCAmpliado"
"1741","TQCDFUATJBPR02","CDC Replica de RFCAmpliado"
"1742","TQCDFUATDB2X01","CDC Replica de RFCAmpliado"
"1743","TQCDFPROWASX01","CDC Replica de RFCAmpliado"
"1744","TQCDFUATWBMQ01","CDF"
"1745","TQCDFUATJBPR01","CDF"
"1746","TQCDFUATILOG02","CDF"
"1747","TQCDFPRODB2X06","CDF"
"1748","TQCDFPROWASX08","CDF"
"1749","TQCDFSTRWASX03","CDF"
"1750","TQCDFPROWASX04","CDF"
"1751","TQCDFUATWASX01","CDF"
"1752","TQCDFPROWASX05","CDF"
"1753","TQCDFPROWASX01","CDF"
"1754","TQCDFPROWASX02","CDF"
"1755","TQCDFPRODB2X04","CDF"
"1756","TQCDFUATWASX02","CDF"
"1757","TQCDFUATJBPR02","CDF"
"1758","TQCDFPROWASX06","CDF"
"1759","TQCDFUATWBMQ02","CDF"
"1760","TQCDFUATILOG01","CDF"
"1761","TQCDFPROWASX03","CDF"
"1762","TQCDFSTRWASX02","CDF"
"1763","TQCDFPRODB2X05","CDF"
"1764","TQCDFPROWASX07","CDF"
"1765","TQCDFSTRWASX01","CDF"
"1766","TQCDFSTRWASX04","CDF"
"1767","TQCDFPRODB2X03","CDF"
"1768","TQCDFPRODB2X02","CDF"
"1769","TQCDFPRODB2X01","CDF"
"1770","CENTOS 64-BIT","CENTOS "
"1771","SATCPNNWEB01","CENTRALES"
"1772","SATCPNNSQL05","CENTRALES"
"1773","SATCPNNSQL01","CENTRALES"
"1774","SATCPNNPRO06","CENTRALES"
"1775","SATCPNNPRO04","CENTRALES"
"1776","SATCPNNPRO03","CENTRALES"
"1777","SATCPNNPRO02","CENTRALES"
"1778","SATCPNNPRO01","CENTRALES"
"1779","SATCPNCEFNP0","CENTRALES"
"1780","SATCPNNPRO08","CENTRALES"
"1781","SATCPNNWWW05","CENTRALES"
"1782","CENTRAL07","CENTRALES"
"1783","SATCPNNECC","CENTRALES"
"1784","SATCPNCEFNP1","CENTRALES"
"1785","SATCPNAUNP0","CENTRALES"
"1786","TRCERPROAPCH02","CERTISAT"
"1787","TQSINPROAPCH14","CERTISAT"
"1788","TQSINPROAPCH12","CERTISAT"
"1789","TQSINPROAPCH11","CERTISAT"
"1790","TQSINPROAPCH10","CERTISAT"
"1791","TQSINPROAPCH09","CERTISAT"
"1792","TQSINPROAPCH08","CERTISAT"
"1793","TQSINPROAPCH07","CERTISAT"
"1794","TQSINPROAPCH06","CERTISAT"
"1795","TQSINPROAPCH05","CERTISAT"
"1796","TQSINPROAPCH03","CERTISAT"
"1797","TQSINPROAPCH01","CERTISAT"
"1798","TRCERPROAPCH01","CERTISAT"
"1799","TQSINPROAPCH04","CERTISAT"
"1800","SGIPKIWS1","CERTISAT"
"1801","TQSINPROAPCH15","CERTISAT"
"1802","TQSINPROAPCH02","CERTISAT"
"1803","TQSINPROAPCH13","CERTISAT"
"1804","TQSINPROAPCH16","CERTISAT"
"1805","TQCETDEVWEBS01","CET"
"1806","TQCETDEVCOHC02","CET"
"1807","TQCETUATCOHC02","CET"
"1808","TQCETDEVWEBC02","CET"
"1809","TQCETDEVOHSC01","CET"
"1810","TQCETUATOHSC01","CET"
"1811","TQCETDEVCOHC01","CET"
"1812","TQCETDEVCOHE02","CET"
"1813","TQCETUATCOHC01","CET"
"1814","TQCETDEVCOHE01","CET"
"1815","TQCETDEVWEBC01","CET"
"1816","TQCETUATOHSC02","CET"
"1817","TQCETUATCOHE02","CET"
"1818","TQCETUATWBLS02","CET"
"1819","TQCETUATWBLS01","CET"
"1820","TQCETUATCOHE01","CET"
"1821","TQCETDEVWEBS02","CET"
"1822","TQCETUATWEBC02","CET"
"1823","TQCETUATWEBC01","CET"
"1824","TQCETDEVOHSC02","CET"
"1825","TQCEWUATIISX01","SOIA/PEA/CEW"
"1826","TQCEWUATDNET02","SOIA/PEA/CEW"
"1827","TQCEWUATIISX02","SOIA/PEA/CEW"
"1828","TQCEWUATDNET01","SOIA/PEA/CEW"
"1829","TQCFDPROWSAS01","CFD"
"1830","TQCFDUATJBAX02","CFD"
"1831","TQCFDUATJBAX01","CFD"
"1832","TQCFDPROWSMQ02","CFD"
"1833","TQCFDPROWSAS02","CFD"
"1834","TQCFDPROWSMQ01","CFD"
"1835","TQCFDPROCNTG01","CFD"
"1836","TQCFDPROSOKY01","CFD"
"1837","TQCFDPROWSMQ02","CFDI"
"1838","TQCFDPROWSAS01","CFDI"
"1839","TQCFDPROSOKY01","CFDI"
"1840","TQCFDPROCNTG01","CFDI"
"1841","TQCFDPROWSAS02","CFDI"
"1842","TQCFDPROWSMQ01","CFDI"
"1843","TQCFIRPROSQL01","VERAFIRM"
"1844","TQCFIRPROSQL02","VERAFIRM"
"1845","TQCFIRPROSQL03","VERAFIRM"
"1846","TQCILPROESDA06","CIL"
"1847","TQCILPROESMA02","CIL"
"1848","TQCILPROESDA03","CIL"
"1849","TQCILPROESDA05","CIL"
"1850","TQCILPROKIBA01","CIL"
"1851","TQCILPROESDA02","CIL"
"1852","TQCILPROESCL02","CIL"
"1853","TQCILPROESMA01","CIL"
"1854","TQCILPROLIDX02","CIL"
"1855","TQCILPROLIDX03","CIL"
"1856","TQCILPROKIBA02","CIL"
"1857","TQCILPROESMA03","CIL"
"1858","TQCILPROESCL01","CIL"
"1859","TQCILPROESDA04","CIL"
"1860","TQCILPROESCL03","CIL"
"1861","TQCILPROLIDX01","CIL"
"1862","TQCILPROESDA01","CIL"
"1863","TQCINPROALMA01","CIN"
"1864","TQCINPROIWTE01","CIN"
"1865","TQCINPROENSS01","CIN"
"1866","TQCINPRORSAT01","CIN"
"1867","TQCINPROMSQL01","CIN"
"1868","TQCINPROIISX01","CIN"
"1869","TEMPLATE_TQRFSPROWEBL01_OEM_NW_PSU_TQCLAPP32_2","CL"
"1870","TEMPLATE_SLES11_64B_SP2_PARTICIONES_ESTANDAR_TQCLAPP32","CL"
"1871","TEMPLATE_TQTMPDEVWEBL01_TQCLAPP35","CL"
"1872","TEMPLATE_TQRFSPROWEBL01_OEM_NW_PSU_TQCLAPP32","CL"
"1873","TEMPLATE_TQRFSPROWEBL01_OEM_NW_PSU_TQCLAPP35","CL"
"1874","ORACLE","CLE"
"1875","CLON_PRUEBAS_INDRA","CLON"
"1876","CLON APPSERVER_FOPAI 16OCT15","CLON  16OCT"
"1877","CLON PIA_FOPAI 16OCT15","CLON PIA 16OCT"
"1878","CLONE TQSINSTRPRTL05","CLONE SIN"
"1879","TQCMDPROADDM01","CMD"
"1880","TQCMDPROPRXY01","CMD"
"1881","TQCMDPROADDM01","CMDB"
"1882","TRCMDPROPRXY01","CMDB"
"1883","TQCMDPROPRXY01","CMDB"
"1884","TQCMRPROSPSS04","CMR"
"1885","TQCMRPROSPSS01","CMR"
"1886","TQCMRPROSPSS02","CMR"
"1887","TQCMRPROSPSS05","CMR"
"1888","TQCMRPROSPSS03","CMR"
"1889","TQREPPROORCL01","COB"
"1890","TQCOBPROWEBB02","COB"
"1891","TQCOBPROOHSX02","COB"
"1892","TQESXWEBSPAC386","COB"
"1893","TQREPPROORCL03","COB"
"1894","TQREPPROORCL04","COB"
"1895","TQESXWEBSPAC334","COB"
"1896","TQESXWEBSPAC385","COB"
"1897","TQESXWEBSPAC380","COB"
"1898","TQESXWEBSPAC379","COB"
"1899","TQESXWEBSPAC378","COB"
"1900","TQESXWEBSPAC377","COB"
"1901","TQESXWEBSPAC338","COB"
"1902","TQCOBPROORCL04","COB"
"1903","TQCOBPROWEBL04","COB"
"1904","TQCOBPROWEBL03","COB"
"1905","TQCOBPROWEBL02","COB"
"1906","TQCOBPROWEBL01","COB"
"1907","TQCOBPROORCL03","COB"
"1908","TQCOBPROORCL02","COB"
"1909","TQCOBPROORCL01","COB"
"1910","TQESXWEBSPAC341","COB"
"1911","TQESXWEBSPAC340","COB"
"1912","TQESXWEBSPAC342","COB"
"1913","TQESXWEBSPAC332","COB"
"1914","TQESXWEBSPAC387","COB"
"1915","TQCOBPROOHSX04","COB"
"1916","TQCOBPROOHSX01","COB"
"1917","TQCOBPROOHSX08","COB"
"1918","TQCOBPROWEBB01","COB"
"1919","TQCOBPROWEBL07","COB"
"1920","TQCOBPROWEBB03","COB"
"1921","TQCOBPROOHSX03","COB"
"1922","TQCOBPROOHSX07","COB"
"1923","TQCOBPROWEBL08","COB"
"1924","TQCOBPROWEBL06","COB"
"1925","TQCOBPROWEBL05","COB"
"1926","TQESXWEBSPAC337","COB"
"1927","TQCOBPROOHSX05","COB"
"1928","TQESXWEBSPAC339","COB"
"1929","TQCOBPROOHSX06","COB"
"1930","TQESXWEBSPAC376","COB"
"1931","TQESXWEBSPAC354","COB"
"1932","TQREPPROORCL02","COB"
"1933","TRSACPROMSQL04","COBRANZA"
"1934","TRSACPROMSQL03","COBRANZA"
"1935","TRSACPROMSQL01","COBRANZA"
"1936","TRSACPROMSQL02","COBRANZA"
"1937","TRSARDEVARCA01","COBRANZA"
"1938","TRSARUATARCA01","COBRANZA"
"1939","TQCODUATDOCU03","COD"
"1940","TQCODUATDOCU01","COD"
"1941","TQCODUATDOCU02","COD"
"1942","TRCOGPRORSVR01","COGNOS"
"1943","TRCOGPROGTWY01","COGNOS"
"1944","TRCOGPROCONT01","COGNOS"
"1945","TRCOGPROTRFR01","COGNOS"
"1946","TRCOGPRORSVR02","COGNOS"
"1947","TQCOHUATWEBL08","COHERENCE"
"1948","TQCOHUATOHSX02","COHERENCE"
"1949","TQCOHUATWEBL05","COHERENCE"
"1950","TQCOHUATWEBL04","COHERENCE"
"1951","TQCOHUATWEBL07","COHERENCE"
"1952","TQCOHUATWEBL06","COHERENCE"
"1953","TQCOHUATWEBL02","COHERENCE"
"1954","TQCOHUATWEBL03","COHERENCE"
"1955","TQCOHUATWEBL01","COHERENCE"
"1956","TQCOHUATOHSX01","COHERENCE"
"1957","TRCEWPROIISX02","COMERCIO EXTERIOR"
"1958","TRCEWPRODNET01","COMERCIO EXTERIOR"
"1959","TRCEWPRODNET02","COMERCIO EXTERIOR"
"1960","TRCEWPROIISX01","COMERCIO EXTERIOR"
"1961","TQCINPROMSQL01","COMUNICACION INTERNA"
"1962","TQCINPROIISX01","COMUNICACION INTERNA"
"1963","TRCONPRONETF04","CONDONACIONES"
"1964","TRCONPRONETF03","CONDONACIONES"
"1965","TRCONPRONETF02","CONDONACIONES"
"1966","TRCONPRONETF01","CONDONACIONES"
"1967","TQCOBPROWEBL03","CONTROL DE OBLIGACIONES"
"1968","TQCOBPROWEBL07","CONTROL DE OBLIGACIONES"
"1969","TQCOBPROWEBL05","CONTROL DE OBLIGACIONES"
"1970","TQCOBPROWEBL04","CONTROL DE OBLIGACIONES"
"1971","TQCOBPROWEBL01","CONTROL DE OBLIGACIONES"
"1972","TQCOBPROORCL04","CONTROL DE OBLIGACIONES"
"1973","TQCOBPROOHSX06","CONTROL DE OBLIGACIONES"
"1974","TQCOBPROOHSX04","CONTROL DE OBLIGACIONES"
"1975","TQCOBPROOHSX03","CONTROL DE OBLIGACIONES"
"1976","TQCOBPROOHSX01","CONTROL DE OBLIGACIONES"
"1977","TQCOBPROORCL01","CONTROL DE OBLIGACIONES"
"1978","TQCOBPROORCL02","CONTROL DE OBLIGACIONES"
"1979","TQCOBPROOHSX05","CONTROL DE OBLIGACIONES"
"1980","TQCOBPROWEBL08","CONTROL DE OBLIGACIONES"
"1981","TQCOBPROWEBL02","CONTROL DE OBLIGACIONES"
"1982","TQCOBPROORCL03","CONTROL DE OBLIGACIONES"
"1983","TQCOBPROOHSX02","CONTROL DE OBLIGACIONES"
"1984","TQCOBPROOHSX07","CONTROL DE OBLIGACIONES"
"1985","TQCOBPROOHSX08","CONTROL DE OBLIGACIONES"
"1986","TQCOBPROWEBL06","CONTROL DE OBLIGACIONES"
"1987","CONVERTER_DBX","CONVERTER"
"1988","CONVERTER_APP_UAT","CONVERTER"
"1989","CONVERTER_APP","CONVERTER"
"1990","CONVERTER_WEB","CONVERTER"
"1991","TQCOPUATJCKB01","COP"
"1992","TQCOPPROJKBP02","COP"
"1993","TQCOPUATJCKB03","COP"
"1994","TQCOPUATJCKB07","COP"
"1995","TQCOPPROWASX02","COP"
"1996","TQCOPPROJKBP08","COP"
"1997","CLON_TQCOPPROJKBP04_CLON_100414","COP"
"1998","TQCOPUATWASX07","COP"
"1999","TQCOPUATJCKB08","COP"
"2000","TQCOPPROWASX03","COP"
"2001","TQCOPUATJCKB02","COP"
"2002","TQCOPUATWASX06","COP"
"2003","CLON_TQCOPPROWASX03_CLON_100414","COP"
"2004","TQCOPUATJCKB04","COP"
"2005","TQCOPUATPRTL05","COP"
"2006","TQCOPPROJCKB03","COP"
"2007","TQCOPPROWASX08","COP"
"2008","TQCOPUATWASX03","COP"
"2009","TQCOPUATWASX02","COP"
"2010","TQCOPUATPRTL08","COP"
"2011","TQCOPUATJCKB06","COP"
"2012","TQCOPUATJCKB05","COP"
"2013","TQCOPPROWASX06","COP"
"2014","TQCOPUATPRTL07","COP"
"2015","TQCOPPROWASX05","COP"
"2016","TQCOPUATPRTL01","COP"
"2017","TQCOPUATPRTL06","COP"
"2018","CLON-TQCOPPROWASX04","COP"
"2019","CLON_TQCOPPROJKBP03_CLON_100414","COP"
"2020","TQCOPPROJCKB04","COP"
"2021","TQCOPPROJKBP05","COP"
"2022","TQCOPPROJCKB02","COP"
"2023","CLON_TQCOPUATJCKB04_RESP_15052013","COP"
"2024","TQCOPPROWASX04","COP"
"2025","CLON-TQCOPPROWASX03","COP"
"2026","TQCOPUATWASX01","COP"
"2027","TQCOPUATWASX04","COP"
"2028","TQCOPUATPRTL04","COP"
"2029","CLON-TQCOPPROWASX01","COP"
"2030","TQCOPPROWASX07","COP"
"2031","CLON-TQCOPPROWASX02","COP"
"2032","TQCOPPROJKBP03","COP"
"2033","TQCOPUATPRTL02","COP"
"2034","TQCOPUATWASX09","COP"
"2035","TQCOPUATWASX05","COP"
"2036","TQCOPUATWASX08","COP"
"2037","TQCOPPROJKBP06","COP"
"2038","TQCOPUATPRTL03","COP"
"2039","CLON_TQCOPPROWASX04_CLON_100414","COP"
"2040","TQCOPPROJCKB01","COP"
"2041","TQCOPPROWASX01","COP"
"2042","TQCOPPROJKBP04","COP"
"2043","TQCOPPROJKBP07","COP"
"2044","TQCOPPROJKBP01","COP"
"2045","CPA_OR","CPA"
"2046","TQSATCPANSQL06","CPANSQL"
"2047","TQSATCPANSQL07","CPANSQL"
"2048","TQCPDPROWBMQ01","CPD"
"2049","TQCPDUATWBMQ02","CPD"
"2050","TQCPDUATWASX02","CPD"
"2051","TQCPDUATWASX01","CPD"
"2052","TQCPDUATWBMQ01","CPD"
"2053","TRCPDPROWBMQ01","CPED"
"2054","TRCPDPROWASX02","CPED"
"2055","TRCPDPROWBMQ02","CPED"
"2056","TRCPDPROWASX01","CPED"
"2057","TQCPDUATWBMQ01","CPED"
"2058","TQCPPPROWASP01","CPED"
"2059","TQCPPPROWASX01","CPED"
"2060","TQCPDUATWASX01","CPED"
"2061","TQCPDPROWBMQ01","CPED"
"2062","TRCPDPROWBMQ03","CPED"
"2063","TQCPDUATWASX02","CPED"
"2064","TRCPDPROWBMQ04","CPED"
"2065","TQCPDUATWBMQ02","CPED"
"2066","CPNN1","SIRESI"
"2067","CPNN1","CPNN1"
"2068","CPNN1_DESA","CPNN1"
"2069","CPNN1ALT_LAB","CPNN1"
"2070","CPNN1_LAB","CPNN1"
"2071","CPNN1ALT","CPNN1"
"2072","CPNN1_DES","CPNN1"
"2073","CPNN2_LAB","CPNN2"
"2074","CPNN2","CPNN2"
"2075","CPNQN1","CPNQN"
"2076","CPNV1","CPNV1"
"2077","CPNV1_LAB2","CPNV2"
"2078","TRCPPPROWSPH01","CPP"
