"","aplicacion","consumo_asignado_app","consumo_usado_app","consumo_fantasia_app","General","n_centrales","consumo_x_general_asignado","consumo_x_general_usado"
"60","BTO",8470.3,834.63725,7635.66275,"TODAS",1,8470.3,834.63725
"61","BUS",11760.4333333333,3188.54503317938,8571.88830015396,"Sin Direccion",1,11760.4333333333,3188.54503317938
"62","BUS DE DATOS",1469.83333333333,527.05284453125,942.780488802083,"Comunicaciones y Tecnologias de la Informacion",1,1469.83333333333,527.05284453125
"63","BUS INTEGRACION",1123,497.210329296875,625.789670703125,"Comunicaciones y Tecnologias de la Informacion",1,1123,497.210329296875
"64","BUT",3944,1251.0259,2692.9741,"Sin Direccion",1,3944,1251.0259
"65","BUZON TRIBUTARIO (AGAFF/AGAGACE)",17363.0833333333,4089.98252083333,13273.1008125,"Auditoria Fiscal Federal",1,17363.0833333333,4089.98252083333
"66","BZN",13337.8333333333,3183.58420904948,10154.2491242839,"Sin Direccion",1,13337.8333333333,3183.58420904948
"67","BZT",5440.25,1150.74486178385,4289.50513821615,"Sin Direccion",1,5440.25,1150.74486178385
"68","Buzon Tributario (nuevo)",25615.9073968778,5305.9427811095,20309.9646157683,"Sin Direccion",1,25615.9073968778,5305.9427811095
"69","C GESTION AGGC",1153,1056.851,96.149,"Grandes Contribuyentes",1,1153,1056.851
"70","CAP",14940.029296875,4113.74222626953,10826.2870706055,"Auditoria Fiscal Federal",1,14940.029296875,4113.74222626953
"71","CBZ",8180.5,2971.3018922619,5209.1981077381,"Sin Direccion",1,8180.5,2971.3018922619
"72","CCN",2380.8583984375,1053.01279519507,1327.84560324243,"Sin Direccion",1,2380.8583984375,1053.01279519507
"73","CCT",4005.5,566.016734375,3439.483265625,"Sin Direccion",1,4005.5,566.016734375
"74","CCT.",596,63.1462,532.8538,"Sin Direccion",1,596,63.1462
"75","CDC",9441.60074869792,3535.96283117031,5905.6379175276,"Sin Direccion",1,9441.60074869792,3535.96283117031
"76","CDC Replica de RFCAmpliado",17910.2507486979,10600.003335177,7310.2474135209,"Servicios al Contribuyente",1,17910.2507486979,10600.003335177
"77","CDF",9180.65000000001,7173.91727865947,2006.73272134053,"Sin Direccion",1,9180.65000000001,7173.91727865947
"78","CENTOS ",60,31.8046875,28.1953125,"Sin Direccion",1,60,31.8046875
"79","CENTRALES",232.8447265625,81.3908741699217,151.453852392578,"Comunicaciones y Tecnologias de la Informacion",1,232.8447265625,81.3908741699217
"80","CERTISAT",332,152.427659338779,179.572340661221,"Servicios al Contribuyente",1,332,152.427659338779
"81","CET",3396,897.4792,2498.5208,"Sin Direccion",1,3396,897.4792
"82","CFD",202,102.212,99.788,"Sin Direccion",1,202,102.212
"83","CFDI",118,59.708,58.292,"Servicios al Contribuyente",1,118,59.708
"84","CIL",8623,1917.1495,6705.8505,"Sin Direccion",1,8623,1917.1495
"85","CIN",4376.3994140625,348.470839941406,4027.92857412109,"Sin Direccion",1,4376.3994140625,348.470839941406
"86","CL",789,134.25155,654.74845,"Sin Direccion",1,789,134.25155
"87","CLE",16,6.088,9.912,"Sin Direccion",1,16,6.088
"88","CLON",138,25.0677,112.9323,"Sin Direccion",1,138,25.0677
"89","CLON  16OCT",87,46.4406,40.5594,"Sin Direccion",1,87,46.4406
"90","CLON PIA 16OCT",117,79.16923828125,37.83076171875,"Sin Direccion",1,117,79.16923828125
"91","CLONE SIN",72,7.9128,64.0872,"Sin Direccion",1,72,7.9128
"92","CMD",324.5,85.5558,238.9442,"Sin Direccion",1,324.5,85.5558
"93","CMDB",416.5,139.316,277.184,"Comunicaciones y Tecnologias de la Informacion",1,416.5,139.316
"94","CMR",2160,440.59374375,1719.40625625,"Servicios al Contribuyente",1,2160,440.59374375
"95","COB",36116.046875,12176.5474757052,23939.4993992948,"Recaudacion",1,36116.046875,12176.5474757052
"96","COBRANZA",9882.2548828125,8327.85598110352,1554.39890170898,"Recaudacion",1,9882.2548828125,8327.85598110352
"97","COD",1195.5,475.96618828125,719.53381171875,"Sin Direccion",1,1195.5,475.96618828125
"98","COHERENCE",1248,344.43436875,903.56563125,"Auditoria Fiscal Federal",1,1248,344.43436875
"99","COMERCIO EXTERIOR",512,213.7984,298.2016,"Auditoria de Comercio Exterior",1,512,213.7984
"100","COMUNICACION INTERNA",66,11.9889,54.0111,"TODAS",1,66,11.9889
"101","CONDONACIONES",504,197.4168,306.5832,"Recaudacion",1,504,197.4168
"102","CONTROL DE OBLIGACIONES",5615,1833.2620648104,3781.7379351896,"Recaudacion",1,5615,1833.2620648104
"103","CONVERTER",160,51.387390625,108.612609375,"Sin Direccion",1,160,51.387390625
"104","COP",1190.16666666667,522.405259181587,667.76140748508,"Sin Direccion",1,1190.16666666667,522.405259181587
"105","CPA",1583.9,1517.67091567852,66.2290843214756,"Sin Direccion",1,1583.9,1517.67091567852
"106","CPANSQL",2924.005859375,444.929072167968,2479.07678720704,"Sin Direccion",1,2924.005859375,444.929072167968
"107","CPD",45.5,19.48765,26.01235,"Sin Direccion",1,45.5,19.48765
"108","CPED",503.5,278.058917776856,225.441082223144,"Aduanas",1,503.5,278.058917776856
"109","CPNN1",138.625,132.174128571428,6.45087142857145,"Aduanas",1,138.625,132.174128571428
"110","CPNQN",48,34.0304394880482,13.9695605119518,"Sin Direccion",1,48,34.0304394880482
"111","CPNV1",200.4,192.817857142857,7.58214285714286,"Aduanas",1,200.4,192.817857142857
"112","CRM",43654.629296875,33233.9687055835,10420.6605912916,"Servicios al Contribuyente",1,43654.629296875,33233.9687055835
"113","CSI",32,15.3152,16.6848,"Comunicaciones y Tecnologias de la Informacion",1,32,15.3152
"114","CUN",102,44.6349609375,57.3650390625,"Auditoria Fiscal Federal",1,102,44.6349609375
"115","CUP",306,47.29995,258.70005,"Sin Direccion",1,306,47.29995
"116","DAN",11248.572265625,3907.41859464874,7341.15367097626,"Sin Direccion",1,11248.572265625,3907.41859464874
